City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Mangrol,IN,2022-06-04 03:17:56,21.1167,70.1167,83.59,73,52,13.76
176,Chara,RU,2022-06-04 03:17:57,56.9064,118.2631,64.83,43,28,4.05
177,Hofn,IS,2022-06-04 03:17:57,64.2539,-15.2082,48.61,59,100,13.13
178,Esperance,AU,2022-06-04 03:17:58,-33.8667,121.9,57.04,73,100,19.75
179,Sayat,TM,2022-06-04 03:17:59,38.7839,63.8803,76.87,17,0,11.43
180,Gastonia,US,2022-06-04 03:15:01,35.2621,-81.1873,68.25,94,40,0.0
181,Pasighat,IN,2022-06-04 03:19:00,28.0667,95.3333,78.01,95,94,2.77
182,Kloulklubed,PW,2022-06-04 03:19:00,7.0419,134.2556,84.7,67,11,5.35
183,Kalmunai,LK,2022-06-04 03:19:04,7.4167,81.8167,83.12,72,82,7.99
184,Sioux Lookout,CA,2022-06-04 03:19:05,50.1001,-91.917,44.67,87,75,2.3
185,Zhangjiakou,CN,2022-06-04 03:19:05,40.81,114.8794,76.71,37,48,7.16
186,Haines Junction,CA,2022-06-04 03:19:06,60.7522,-137.5108,75.15,19,91,4.61
187,Tikamgarh,IN,2022-06-04 03:19:07,24.745,78.8333,100.04,15,67,13.27
188,Rocha,UY,2022-06-04 03:19:07,-34.4833,-54.3333,42.13,91,81,3.91
189,Georgetown,MY,2022-06-04 03:16:52,5.4112,100.3354,78.73,88,20,4.61
190,Vallenar,CL,2022-06-04 03:19:08,-28.5708,-70.7581,57.94,30,100,2.98
191,Portalegre,PT,2022-06-04 03:19:09,39.2938,-7.4312,54.28,96,46,2.37
192,Talnakh,RU,2022-06-04 03:19:09,69.4865,88.3972,33.21,56,100,4.83
193,Yatou,CN,2022-06-04 03:19:10,37.15,122.3833,74.12,61,100,16.82
194,Archidona,ES,2022-06-04 03:19:10,37.0965,-4.3887,61.41,91,9,4.72
195,Point Fortin,TT,2022-06-04 03:19:11,10.1833,-61.6833,75.88,86,29,12.91
196,Pringsewu,ID,2022-06-04 03:19:12,-5.3582,104.9744,82.33,74,100,3.78
197,Souillac,MU,2022-06-04 03:19:12,-20.5167,57.5167,73.78,78,75,12.66
198,Meulaboh,ID,2022-06-04 03:19:13,4.1363,96.1285,82.49,67,91,2.42
199,Mount Gambier,AU,2022-06-04 03:19:13,-37.8333,140.7667,51.76,87,84,9.98
200,Tura,IN,2022-06-04 03:19:14,25.5198,90.2201,79.45,90,90,6.4
201,Oga,IT,2022-06-04 03:19:15,46.4631,10.347,49.8,89,15,0.25
202,Gweru,ZW,2022-06-04 03:19:15,-19.45,29.8167,46.54,98,30,8.52
203,Tasiilaq,GL,2022-06-04 03:19:16,65.6145,-37.6368,28.56,74,12,5.99
204,Axim,GH,2022-06-04 03:19:17,4.8699,-2.2405,78.26,84,96,5.08
205,Ashland,US,2022-06-04 03:19:17,40.8167,-82.2665,60.28,86,0,4.38
206,Umm Lajj,SA,2022-06-04 03:19:18,25.0213,37.2685,83.35,45,14,9.57
207,Ponta Do Sol,PT,2022-06-04 03:19:18,32.6667,-17.1,63.72,72,14,4.81
208,Pandrup,DK,2022-06-04 03:19:19,57.2215,9.6757,51.71,87,100,16.11
209,Geraldton,AU,2022-06-04 03:19:20,-28.7667,114.6,66.61,45,21,10.36
210,Deputatskiy,RU,2022-06-04 03:19:20,69.3,139.9,56.79,63,71,6.26
211,Mpongwe,ZM,2022-06-04 03:19:21,-13.5091,28.155,50.65,81,1,7.67
212,Inirida,CO,2022-06-04 03:19:21,3.8653,-67.9239,72.12,96,100,2.19
213,Byron Bay,AU,2022-06-04 03:17:49,-28.65,153.6167,69.94,56,0,12.93
214,Bend,US,2022-06-04 03:17:38,44.0582,-121.3153,51.08,73,75,5.01
215,Kunming,CN,2022-06-04 03:19:22,25.0389,102.7183,71.53,64,75,13.42
216,Ust-Nera,RU,2022-06-04 03:19:23,64.5667,143.2,72.43,31,50,2.55
217,Saint George,US,2022-06-04 03:19:23,37.1041,-113.5841,88.39,11,0,18.41
218,Lavumisa,SZ,2022-06-04 03:19:24,-27.31,31.892,52.68,78,0,3.98
219,Los Palacios,CU,2022-06-04 03:19:25,22.5872,-83.2486,76.17,94,100,10.63
220,Waitati,NZ,2022-06-04 03:19:25,-45.75,170.5667,52.81,59,21,5.1
221,Viedma,AR,2022-06-04 03:15:43,-40.8135,-62.9967,49.55,54,100,20.83
