City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Bandarbeyla,SO,79.48,broken clouds,9.4942,50.8122,JABIR HOTEL
Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
Hamilton,US,84.43,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
Kavieng,PG,81.99,broken clouds,-2.5744,150.7967,Nusa Island Retreat
Ca Mau,VN,77.83,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
Basco,PH,84.45,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
Leavenworth,US,78.6,overcast clouds,39.2333,-95.0336,Suncatcher Lake RV Park
Codajas,BR,75.2,moderate rain,-3.8367,-62.0569,Atlântic Hotel
Namatanai,PG,80.65,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
Broome,US,75.52,scattered clouds,42.2506,-75.833,Chenango Valley State Park
Pekalongan,ID,77.27,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
Balsas,BR,83.34,overcast clouds,-7.5325,-46.0356,Novo Hotel
Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
Poum,NC,77.09,clear sky,-20.2333,164.0167,
Gazojak,TM,79.68,clear sky,41.1875,61.4036,
Ibra,OM,79.99,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
Lalmohan,BD,83.37,scattered clouds,22.3384,90.7419,Arifur Rahman Miraj
Havelock,US,83.01,clear sky,34.8791,-76.9013,Sherwood Motel
Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
West Wendover,US,76.39,overcast clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
Riva,US,81.12,few clouds,38.9521,-76.578,Hilton Garden Inn Annapolis
Jiangkou,CN,76.05,light rain,25.4872,119.1986,DFM Hotel
Jieshi,CN,80.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
Tual,ID,82.04,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
Miramar,US,89.01,broken clouds,25.9873,-80.2323,Stadium Hotel
Abu Zabad,SD,87.01,few clouds,12.35,29.25,حامد محمد نور
Caraballeda,VE,82.87,broken clouds,10.6112,-66.8522,Hotel 15 Letras
Itapora,BR,75.69,overcast clouds,-22.0799,-54.7874,Hotel Santa Fé
Nioaque,BR,79.16,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
Gopalpur,IN,82.4,light rain,19.2667,84.9167,Gopalpur Palm Resort
Coxim,BR,82.31,scattered clouds,-18.5067,-54.76,Hotel Avenida
Brainerd,US,77.25,overcast clouds,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
Sao Miguel Do Araguaia,BR,78.69,clear sky,-13.275,-50.1628,Hotel Executivo Palace
Russell,US,85.91,overcast clouds,32.3502,-85.1999,Macs
Venice,US,89.28,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
Wahiawa,US,80.76,clear sky,21.5028,-158.0236,The Inn At Schofield
Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
Ugoofaaru,MV,82.18,broken clouds,5.6667,73.0,Ungoofaaru Inn
Pandan,PH,79.09,overcast clouds,14.0453,124.1694,Bonifacio Lodge
